age,tenure_months,monthly_spend,num_transactions,last_login_days,support_tickets,is_active,total_spend,target_fraud,suspicion_score,txn_intensity,txn_burstiness,login_frequency,spend_velocity,avg_vs_total_ratio,z_num_txn_payment,z_num_txn_country,z_monthly_spend_country,gender_binary,country_India,country_UK,country_US,pm_Crypto,pm_PayPal,txn_x_spend,txn_x_login
59,2,185.3608904683816,52,18,5,0,370.7217809367632,0,0.0,52,2.736842105263158,0.05263157894736842,3.5646325090073385,0.018817166338989562,0.07441816532764596,0.05814708067106644,-0.5603137888836155,1,False,False,False,False,True,9638.766304355842,2.736842105263158
25,54,108.87922179977724,35,17,7,1,5879.477977187971,1,0.0,35,1.9444444444444444,0.05555555555555555,3.110834908565064,0.027773054049896214,-0.5603948720251481,-0.5529444285872,-1.0043801615957317,0,False,False,True,False,False,3810.7727629922033,1.9444444444444444
38,48,221.92747377964565,5,2,5,1,10652.518741422991,0,0.3,5,1.6666666666666667,0.3333333333333333,44.38549475592913,0.16665102238324145,-1.5626781133176122,-1.576871202524755,-0.30235511380771235,0,False,False,False,False,True,1109.6373688982283,1.6666666666666667
48,26,275.3464325583192,14,26,5,1,7159.007246516298,0,0.0,14,0.5185185185185185,0.037037037037037035,19.667602325594228,0.06665735568912554,-1.2895517897303495,-1.280935985190828,0.18096527790882871,1,False,False,True,False,False,3854.8500558164687,0.5185185185185185
53,15,444.0167830548377,95,20,0,1,6660.251745822565,0,0.0,95,4.523809523809524,0.047619047619047616,4.673860874261449,0.010415102896512927,1.52291060713257,1.5699528177470372,1.3051958949207734,1,False,True,False,False,False,42181.59439020958,4.523809523809524
18,59,218.96999810728693,54,20,0,0,12919.229888329928,0,0.0,54,2.5714285714285716,0.047619047619047616,4.054999964949758,0.018180410945388262,0.1440818367593591,0.11894973681607603,-0.30650551064893733,1,True,False,False,False,True,11824.379897793495,2.5714285714285716
43,5,25.262553503140808,98,23,7,1,126.31276751570404,1,0.3,98,4.083333333333333,0.041666666666666664,0.2577811581953144,0.010021669982197869,1.662441213558369,1.6732438797468732,-1.7343451273792547,0,False,True,False,True,False,2475.7302433077994,4.083333333333333
59,48,433.89043008941087,32,8,2,0,20826.74064429172,0,0.0,32,3.5555555555555554,0.1111111111111111,13.55907594029409,0.030301575366999525,-0.619905134917549,-0.6569432223877183,1.3098927320180374,0,False,False,True,True,False,13884.493762861148,3.5555555555555554
25,53,35.46337301617898,37,28,3,1,1879.5587698574857,0,0.0,37,1.2758620689655173,0.034482758620689655,0.9584695409778102,0.02630179587247616,-0.49095135605322415,-0.427007714249793,-1.660302151373611,1,False,True,False,False,False,1312.144801598622,1.2758620689655173
41,55,273.4680425082198,46,1,2,1,15040.74233795209,0,0.0,46,23.0,0.5,5.944957445830865,0.021275181241276482,-0.13577106099841482,-0.11713452825028486,0.06726238497624439,0,False,True,False,True,False,12579.529955378111,23.0
45,45,480.1749158553913,76,10,4,0,21607.871213492606,1,0.0,76,6.909090909090909,0.09090909090909091,6.318090998097254,0.012986411983246585,0.9016590973997297,0.868372420019883,1.6394657684888456,1,False,False,True,True,False,36493.29360500974,6.909090909090909
19,58,27.43158038600736,3,11,2,1,1591.0316623884269,0,0.0,3,0.25,0.08333333333333333,9.14386012866912,0.24984296794724237,-1.6714911275759312,-1.6647609880766587,-1.6688416729521331,1,True,False,False,False,False,82.29474115802208,0.25
60,59,56.46093774316009,21,12,7,0,3331.1953268464454,1,0.2,21,1.6153846153846154,0.07692307692307693,2.688616083007623,0.045440904433838074,-1.0464994838286157,-0.9778933782489185,-1.50789065352585,1,False,True,False,False,False,1185.6796926063619,1.6153846153846154
35,15,402.554074284313,93,1,9,0,6038.311114264695,1,0.2,93,46.5,0.5,4.328538433164656,0.0106365363638387,1.4895361871586783,1.482963820557579,0.9992546014708635,0,True,False,False,True,False,37437.52890844111,46.5
39,18,487.399142776621,92,15,3,1,8773.18456997918,0,0.0,92,5.75,0.0625,5.297816769311098,0.010751462680592919,1.45495518187874,1.4230326536226472,1.690906556113061,0,False,False,True,True,False,44840.72113544913,5.75
50,54,493.66912726340274,13,10,9,0,26658.13287222375,0,0.5,13,1.1818181818181819,0.09090909090909091,37.97454825103098,0.07142589210018625,-1.3242735477163114,-1.3150137871172989,1.647319533197586,1,True,False,False,False,False,6417.698654424235,1.1818181818181819
23,23,416.2921628036451,72,24,5,0,9574.719744483838,0,0.0,72,2.88,0.04,5.781835594495071,0.013697199578187326,0.7710548796447771,0.7484946985429236,1.096968130764205,0,True,False,False,False,True,29973.03572186245,2.88
38,57,216.5582136058649,44,14,7,0,12343.818175534298,0,0.2,44,2.933333333333333,0.06666666666666667,4.921777581951475,0.02222042209670346,-0.2042365203992065,-0.23079746414328373,-0.3236595692501251,0,True,False,False,False,True,9528.561398658056,2.933333333333333
46,44,68.42662501081229,73,14,4,1,3010.7715004757406,1,0.0,73,4.866666666666666,0.06666666666666667,0.9373510275453738,0.013509026614852251,0.7590319314414068,0.7643736262193648,-1.29242668379924,0,False,False,True,False,False,4995.143625789297,4.866666666666666
62,28,73.32666024607545,84,3,6,1,2053.146486890113,0,0.0,84,21.0,0.25,0.8729364315008982,0.011758978585902838,1.1783071396392348,1.1457025368212652,-1.2575355217916324,1,False,False,True,True,False,6159.439460670337,21.0
25,53,377.663719279232,31,23,8,1,20016.177121799297,0,0.0,31,1.2916666666666667,0.041666666666666664,12.18270062191071,0.031248438840811077,-0.6570503847053417,-0.6854688253904514,0.8222194608479024,0,True,False,False,False,True,11707.575297656193,1.2916666666666667
56,58,87.09039732487736,12,5,3,0,5051.243044842887,0,0.0,12,2.0,0.16666666666666666,7.257533110406446,0.0769078513932993,-1.311525240516312,-1.3333578411977178,-1.2535622117556862,0,False,False,False,True,False,1045.0847678985283,2.0
57,22,137.44937029917082,44,14,8,1,3023.886146581758,0,0.0,44,2.933333333333333,0.06666666666666667,3.123849324981155,0.022214875756555296,-0.20493307155829113,-0.23079746414328373,-0.8863291332825166,1,True,False,False,True,False,6047.772293163516,2.933333333333333
26,18,233.0800150623391,24,19,0,1,4195.440271122104,0,0.0,24,1.2,0.05,9.71166729426413,0.0399904681116814,-0.9423342098707298,-0.9302918660620032,-0.20614660313957864,0,True,False,False,False,False,5593.920361496139,1.2
